Synapse    	Begin Layer	End Layer	Inter	Outer	ConnectPoint	g1    	g2     	t1_r	t1_f	t2_r	t2_f	Axon_delay	

Synapse: b3	3          	5        	0    	2    	0           	0     	27     	1   	1   	0.4 	2   	0.5       

Synapse: b3	3          	1        	0    	0    	0           	0     	27     	1   	1   	0.4 	2   	0.5       

Synapse: b3	1          	6        	0    	0    	0           	0     	424.115	1   	1   	0.4 	2   	0.5       

Synapse: b4	0          	1        	0    	2    	0           	4.524 	0      	1   	2   	1   	1   	0.1       

Synapse: b3	1          	2        	0    	0    	0           	0     	31.416 	1   	1   	2   	2   	0.1       

Synapse: b4	2          	1        	0    	0    	0           	44.768	0      	1   	7   	1   	1   	0.1       

Synapse: b4	2          	5        	0    	2    	0           	11.31 	0      	1   	4   	1   	1   	0.1       

Synapse: b3	4          	3        	0    	2    	0           	0     	27     	1   	1   	0.4 	2   	0.5       

Synapse: b3	3          	0        	0    	0    	0           	0     	27     	1   	1   	0.4 	2   	0.5       

